https://maplestory.nexon.com/Guide/CashShop/Probability/RoyalStyle,
,
로얄스타일,[스페셜 라벨] 꽃잎 약속,2.5%,,
별빛 연구원 (남) / 별빛 연구가 (여),7.55%,,
파란 물보라 (남) / 파란 물결 (여),7.55%,,
해바라기 해변가 (남) / 해바라기 해안가 (여),7.55%,,
장난감의 시간 (남) / 장난감의 추억 (여),7.55%,,
신비한 주인,7.55%,,
뽀송 눈꽃 (A) / 달송 눈꽃 (B),7.55%,,
조향사 아로마 (남) / 조향사 하모니 (여),7.55%,,
결계 회오리 (남) / 결계 메아리 (여),7.55%,,
새콤 깡총 (남) / 달콤 깡총 (여),7.55%,,
청백 파도 (남) / 다흰 파도 (여),7.55%,,
마스터라벨 옷,서린 장미 (남) / 아린 장미 (여),13.68%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),3.32%,,
,
,
레드라벨 망토/장갑,퓨어 딜라이트,7.64%,,
푸른 별자리,7.64%,,
블루밍 버블,7.64%,,
해바라기 꽃비,7.64%,,
장난감 키링,7.64%,,
신비한 마을,7.64%,,
눈꽃보송 다람꼬리,7.64%,,
머무는 향기,7.64%,,
결계의 파동,7.64%,,
깡총 설렘,7.64%,,
파도 울림,7.64%,,
마스터라벨 망토/장갑,악몽 경계,12.61%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),3.36%,,
,
,
레드라벨 신발,애플 브리즈 (남) / 베리 브리즈 (여),7.67%,,
푸른 밤 산책,7.67%,,
설레는 시작,7.67%,,
해바라기 꽃신,7.67%,,
장난감 로퍼 (남) / 장난감 구두 (여),7.67%,,
신비한 걸음,7.67%,,
뽀송 다람 (A) / 달송 다람 (B),7.67%,,
조향사 로퍼 (남) / 조향사 구두 (여),7.67%,,
결계 발자국 (남) / 결계 발자취 (여),7.67%,,
깡총 콩콩,7.67%,,
파도 흔적 (남) / 파도 매듭 (여),7.67%,,
마스터라벨 신발,악몽 행진곡 (남) / 악몽 무도곡 (여),12.23%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),3.38%,,
,
,
레드라벨 무기,퓨어 로즈 머들러,7.62%,,
푸른 밤 별빛,7.62%,,
진주빛 기억,7.62%,,
해바라기 큰송이,7.62%,,
장난감 마술봉,7.62%,,
신비한 패밀리어,7.62%,,
눈꽃보송 도토리,7.62%,,
매혹의 향기,7.62%,,
사슬 결계,7.62%,,
깡총 리본아트,7.62%,,
파도 선율,7.62%,,
마스터라벨 무기,악몽 진주,11.73%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),4.47%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/MasterpieceBlack,
,
블랙라벨 모자,로즈 블렌딩,6.52%,,
푸른 밤 베레모,6.52%,,
블루밍 오션,6.52%,,
해바라기 꽃모자 (A) / 해바라기 꽃핀 (B),6.52%,,
장난감 프로펠러,6.52%,,
신비한 모자,6.52%,,
눈꽃보송 머리띠,6.52%,,
블랙 머스크 리본 (A) / 블랙 바닐라 리본 (B),6.52%,,
결계의 그늘,6.52%,,
말랑 깡총,6.52%,,
파도 산호,6.52%,,
마스터라벨 모자,피어난 악몽 (A) / 흐드러진 악몽 (B),20.42%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),7.89%,,
,
,
블랙라벨 옷,실론 티타임 (남) / 다즐링 티타임 (여),6.36%,,
별빛 연구원 (남) / 별빛 연구가 (여),6.36%,,
파란 물보라 (남) / 파란 물결 (여),6.36%,,
해바라기 해변가 (남) / 해바라기 해안가 (여),6.36%,,
장난감의 시간 (남) / 장난감의 추억 (여),6.36%,,
신비한 주인,6.36%,,
뽀송 눈꽃 (A) / 달송 눈꽃 (B),6.36%,,
조향사 아로마 (남) / 조향사 하모니 (여),6.36%,,
결계 회오리 (남) / 결계 메아리 (여),6.36%,,
새콤 깡총 (남) / 달콤 깡총 (여),6.36%,,
청백 파도 (남) / 다흰 파도 (여),6.36%,,
마스터라벨 옷,서린 장미 (남) / 아린 장미 (여),22.37%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),7.69%,,
,
,
블랙라벨 망토/장갑,퓨어 딜라이트,6.27%,,
푸른 별자리,6.27%,,
블루밍 버블,6.27%,,
해바라기 꽃비,6.27%,,
장난감 키링,6.27%,,
신비한 마을,6.27%,,
눈꽃보송 다람꼬리,6.27%,,
머무는 향기,6.27%,,
결계의 파동,6.27%,,
깡총 설렘,6.27%,,
파도 울림,6.27%,,
마스터라벨 망토/장갑,악몽 경계,23.45%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),7.59%,,
,
,
블랙라벨 신발,애플 브리즈 (남) / 베리 브리즈 (여),6.31%,,
푸른 밤 산책,6.31%,,
설레는 시작,6.31%,,
해바라기 꽃신,6.31%,,
장난감 로퍼 (남) / 장난감 구두 (여),6.31%,,
신비한 걸음,6.31%,,
뽀송 다람 (A) / 달송 다람 (B),6.31%,,
조향사 로퍼 (남) / 조향사 구두 (여),6.31%,,
결계 발자국 (남) / 결계 발자취 (여),6.31%,,
깡총 콩콩,6.31%,,
파도 흔적 (남) / 파도 매듭 (여),6.31%,,
마스터라벨 신발,악몽 행진곡 (남) / 악몽 무도곡 (여),22.90%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),7.63%,,
,
,
블랙라벨 무기,퓨어 로즈 머들러,6.15%,,
푸른 밤 별빛,6.15%,,
진주빛 기억,6.15%,,
해바라기 큰송이,6.15%,,
장난감 마술봉,6.15%,,
신비한 패밀리어,6.15%,,
눈꽃보송 도토리,6.15%,,
매혹의 향기,6.15%,,
사슬 결계,6.15%,,
깡총 리본아트,6.15%,,
파도 선율,6.15%,,
마스터라벨 무기,악몽 진주,22.50%,,
아렌 헤어쿠폰(남) 선택권 (A) / 아멜리 헤어쿠폰(여) 선택권 (B),9.90%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/RoyalHairCoupon,
,
남자,머스캣 헤어,16.67%,,
블링 에반 헤어,16.67%,,
라온 헤어,16.67%,,
포도맛 헤어,16.67%,,
스윗송 헤어,16.67%,,
숲의 요정,16.67%,,
,
,
여자,이슬 물망초 헤어,16.67%,,
아침등교 헤어,16.67%,,
미디 신비 헤어,16.67%,,
후르츠 헤어,16.67%,,
솜이 헤어,16.67%,,
숲의 요정,16.67%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/RoyalPlasticSurgeryCoupon,
,
남자,볼그레 얼굴,16.67%,,
샤이닝 얼굴,16.67%,,
살구 얼굴,16.67%,,
울림 얼굴,16.67%,,
똘망똘망 얼굴,16.67%,,
도발적인 아잉 얼굴,16.67%,,
,
,
여자,볼그레 얼굴,16.67%,,
샤이닝 얼굴,16.67%,,
살구 얼굴,16.67%,,
동그란 눈 얼굴,16.67%,,
초롱초롱 얼굴,16.67%,,
도발적인 아잉 얼굴,16.67%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/NormalDyeCoupon,
,
염색 일반 쿠폰,검은색,13%,,
빨간색,13%,,
주황색,13%,,
노랑색,13%,,
초록색,13%,,
파란색,13%,,
보라색,13%,,
갈색,13%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/GoldApple,
,
골드애플,위대한 루시드의 소울,0.00114%,,
위대한 매그너스의 소울,0.41402%,,
위대한 반반의 소울,0.62103%,,
위대한 카리아인의 소울,0.82805%,,
죽음의데스로이드(남) 교환권,0.02070%,,
죽음의데스로이드(여) 교환권,0.00207%,,
앨리스와 토끼 모자 의자,0.08280%,,
나랑 놀자 핑! 의자,0.10351%,,
부들 초코곰 라이딩 (90일) 교환권,0.41402%,,
부들 초코곰 라이딩 (영구) 교환권,0.04140%,,
부들 라떼곰 라이딩 (90일) 교환권,0.41402%,,
부들 라떼곰 라이딩 (영구) 교환권,0.04140%,,
흐물냥 데미지 스킨,0.10351%,,
투명 데미지 스킨,0.10351%,,
매지컬 한손무기 공격력 주문서,0.04658%,,
매지컬 두손무기 공격력 주문서,0.04658%,,
매지컬 한손무기 마력 주문서,0.03105%,,
프리미엄 악세서리 공격력 스크롤 100%,0.02329%,,
프리미엄 펫장비 공격력 스크롤 100%,0.02329%,,
프리미엄 악세서리 마력 스크롤 100%,0.00776%,,
프리미엄 펫장비 마력 스크롤 100%,0.00776%,,
안드로이드 이어센서 클립,0.03105%,,
데미지 스킨 저장 슬롯 1칸 확장권,0.06210%,,
영원한 환생의 불꽃,0.10351%,,
티타늄 하트,0.01035%,,
페어리 하트,0.01449%,,
리튬 하트,0.31052%,,
크리스탈 하트,0.41402%,,
골드 하트,0.62103%,,
기운찬 루시드의 소울,0.00207%,,
날렵한 루시드의 소울,0.00207%,,
총명한 루시드의 소울,0.00207%,,
놀라운 루시드의 소울,0.00207%,,
화려한 루시드의 소울,0.00207%,,
강력한 루시드의 소울,0.00207%,,
빛나는 루시드의 소울,0.00207%,,
강인한 루시드의 소울,0.00207%,,
영원히 꺼지지 않는 불꽃 조각,0.51753%,,
스페셜 소울 인챈터,0.51753%,,
하프 이어링,0.28982%,,
레드 워리어 마이스터 심볼,0.28982%,,
레드 파이렛 마이스터 심볼,0.28982%,,
레드 시프 마이스터 심볼,0.28982%,,
레드 매지션 마이스터 심볼,0.28982%,,
레드 아처 마이스터 심볼,0.28982%,,
샤이니 레드 매지션 마이스터 심볼,0.28982%,,
샤이니 레드 시프 마이스터 심볼,0.28982%,,
샤이니 레드 워리어 마이스터 심볼,0.28982%,,
샤이니 레드 아처 마이스터 심볼,0.28982%,,
샤이니 레드 파이렛 마이스터 심볼,0.28982%,,
베어스 퍼플 펜던트,0.28982%,,
피콕스 퍼플 펜던트,0.28982%,,
아울스 퍼플 펜던트,0.28982%,,
울프스 퍼플 펜던트,0.28982%,,
강인함의 익스트림 벨트,0.28982%,,
지혜의 익스트림 벨트,0.28982%,,
행운의 익스트림 벨트,0.28982%,,
날카로운 익스트림 벨트,0.28982%,,
펫장비 공격력 스크롤 100%,0.62103%,,
펫장비 마력 스크롤 100%,0.20701%,,
악세서리 공격력 스크롤 100%,0.62103%,,
악세서리 마력 스크롤 100%,0.20701%,,
에픽 잠재능력 부여 주문서 50%,0.41402%,,
에디셔널 잠재능력 부여 주문서 70%,0.51753%,,
황금 망치 100%,0.62103%,,
기운찬 매그너스의 소울,0.41402%,,
날렵한 매그너스의 소울,0.41402%,,
총명한 매그너스의 소울,0.41402%,,
놀라운 매그너스의 소울,0.41402%,,
화려한 매그너스의 소울,0.41402%,,
강력한 매그너스의 소울,0.41402%,,
빛나는 매그너스의 소울,0.41402%,,
강인한 매그너스의 소울,0.41402%,,
기운찬 반반의 소울,0.62103%,,
날렵한 반반의 소울,0.62103%,,
총명한 반반의 소울,0.62103%,,
놀라운 반반의 소울,0.62103%,,
화려한 반반의 소울,0.62103%,,
강력한 반반의 소울,0.62103%,,
빛나는 반반의 소울,0.62103%,,
강인한 반반의 소울,0.62103%,,
기운찬 카리아인의 소울,0.82805%,,
날렵한 카리아인의 소울,0.82805%,,
총명한 카리아인의 소울,0.82805%,,
놀라운 카리아인의 소울,0.82805%,,
화려한 카리아인의 소울,0.82805%,,
강력한 카리아인의 소울,0.82805%,,
빛나는 카리아인의 소울,0.82805%,,
강인한 카리아인의 소울,0.82805%,,
소울 분해기,4.14023%,,
소울 40칸 가방,1.55258%,,
식물용 20칸 가방,1.55258%,,
광물용 20칸 가방,1.55258%,,
제작물품 20칸 가방,1.55258%,,
레시피 40칸 가방,1.55258%,,
의자 40칸 가방,1.55258%,,
칭호 40칸 명함 지갑,1.55258%,,
주문서 40칸 가방,1.55258%,,
현명한 피노키오 코,2.07011%,,
행운의 피노키오 코,2.07011%,,
민첩한 피노키오 코,2.07011%,,
힘센 피노키오 코,2.07011%,,
금빛 각인의 인장,3.10517%,,
긍정의 혼돈 주문서 30%,2.07011%,,
긍정의 혼돈 주문서 50%,1.55258%,,
놀라운 혼돈의 주문서 50%,1.55258%,,
놀라운 혼돈의 주문서 60%,1.55258%,,
놀라운 혼돈의 주문서 70%,1.03506%,,
순백의 주문서 10%,1.55258%,,
순백의 주문서 5%,2.07011%,,
은빛 각인의 인장,2.07011%,,
은빛 에디셔널 각인의 인장,2.07011%,,
황금 망치 50%,2.07011%,,
미라클 악세서리 공격력 주문서 50%,3.62270%,,
미라클 악세서리 마력 주문서 50%,0.51753%,,
악세서리 공격력 주문서 70%,3.62270%,,
악세서리 마력 주문서 70%,0.51753%,,
미라클 펫장비 공격력 주문서 50%,2.07011%,,
미라클 펫장비 마력 주문서 50%,2.07011%,,
펫장비 공격력 주문서 70%,2.07011%,,
펫장비 마력 주문서 70%,2.07011%,,
미라클 방어구 공격력 주문서 50%,3.10517%,,
미라클 방어구 마력 주문서 50%,1.03506%,,
방어구 공격력 주문서 70%,2.07011%,,
방어구 마력 주문서 70%,2.07011%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/gameAddOption,
https://maplestory.nexon.com/Guide/CashShop/Probability/gameSoulExtractor,
https://maplestory.nexon.com/Guide/CashShop/Probability/WispsWonderBerry,
,
희귀 아이템,크앙,3.32%,,
캬앙,3.32%,,
꺄앙,3.32%,,
상급 아이템,허니비,12.00%,,
풍선개,12.00%,,
밀크롤,12.00%,,
딸기롤,12.00%,,
그린롤,12.00%,,
노멀 아이템,고농축 프리미엄 생명의 물,15.02%,,
오가닉 원더 쿠키,15.02%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/LunaCrystalSweet,
,
루나 스윗 펫,리틀 울프룻,9.60%,,
리틀 무토,9.60%,,
리틀 램나나,9.60%,,
피치버블,9.60%,,
리프버블,9.60%,,
민트버블,9.60%,,
아로,9.60%,,
폴라,9.60%,,
하링,9.60%,,
루나 쁘띠 펫,토트,3.88%,,
벨라,3.88%,,
쁘띠 데스,3.88%,,
루나 쁘띠 공용 펫장비,루나 크리스탈 키,1.96%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/LunaCrystalDream,
,
루나 드림 펫,리틀 울프룻,8.40%,,
리틀 무토,8.40%,,
리틀 램나나,8.40%,,
피치버블,8.40%,,
리프버블,8.40%,,
민트버블,8.40%,,
아로,8.40%,,
폴라,8.40%,,
하링,8.40%,,
루나 쁘띠 펫,토트,6.80%,,
벨라,6.80%,,
쁘띠 데스,6.80%,,
루나 쁘띠 공용 펫장비,루나 크리스탈 키,4.00%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/petGiantSkill,
https://maplestory.nexon.com/Guide/CashShop/Probability/VeryGoodBox,
,
노멀 아이템,도도,12.403%,,
킹크랑,12.403%,,
설산의 마녀,12.403%,,
이루워터,12.403%,,
월묘,12.403%,,
레어 아이템,듀나스,6.202%,,
프랑켄로이드,6.202%,,
희귀 아이템,베릴,4.651%,,
푸소,4.651%,,
타이머,4.651%,,
릴리노흐,4.651%,,
바이킹 군단,4.651%,,
핑크빈,2.326%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/MonsterIncubator,
,
노멀 아이템,타이머,5.0%,,
이루워터,5.0%,,
팔락조,5.0%,,
화이트예티와 페페킹,5.0%,,
락 스피릿,5.0%,,
스타픽시,5.0%,,
판다곰,5.0%,,
투구 페페,5.0%,,
비급,5.0%,,
레어 아이템,타르가,5.0%,,
스칼리온,5.0%,,
머쉬맘,5.0%,,
요괴선사,5.0%,,
도도,5.0%,,
킹슬라임,5.0%,,
그리프,5.0%,,
차우,5.0%,,
에픽 아이템,핑크빈,2.2%,,
오베론,2.2%,,
총리대신,2.2%,,
에피네아,2.2%,,
마뇽,2.2%,,
희귀 아이템,쁘띠 혼테일,0.5%,,
쁘띠 매그너스,0.5%,,
쁘띠 힐라,0.5%,,
쁘띠 반레온,0.5%,,
쁘띠 자쿰,0.5%,,
쁘띠 시그너스,0.5%,,
쁘띠 아카이럼,0.5%,,
쁘띠 오르카,0.5%,,
,
https://maplestory.nexon.com/Guide/CashShop/Probability/PremiumMonsterIncubator,
,
노멀 아이템,호문,2.72%,,
주니어 카투스,2.72%,,
밍구,2.72%,,
북치는 토끼,2.72%,,
레어 아이템,예티,5.43%,,
미니 캐슬 골렘,5.43%,,
검은 양,5.43%,,
티무,5.43%,,
루나픽시,5.43%,,
해군 상병 유령,5.43%,,
제타 그레이,5.43%,,
에픽 아이템,독버섯,2.72%,,
길들일 수 있는 멧돼지,2.72%,,
신관 미이라,2.72%,,
망각의 수호병,2.72%,,
버블링,5.44%,,
엘레오노르의 코카트리스,5.44%,,
그류핀,5.44%,,
삼미호,5.44%,,
검은 마법사의 수하,5.44%,,
데몬 가고일,5.44%,,
홍화사,5.44%,,
희귀 아이템,쁘띠 매그너스,0.27%,,
쁘띠 반 레온,0.27%,,
쁘띠 아카이럼,0.27%,,
쁘띠 시그너스,0.27%,,
쁘띠 오르카,0.27%,,
쁘띠 자쿰,0.27%,,
쁘띠 혼테일,0.27%,,
쁘띠 힐라,0.27%,,
,
